title,description,category,duration_minutes,difficulty,intensity_level,sopk_benefits,symptom_targets,contraindications,instructions,equipment_needed,audio_guide_url,video_preview_url,easy_modifications,advanced_variations
Mobilité Dos & Épaules,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,20,easy,2,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""17 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 17}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/11.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Mobilité Dynamique Corps Entier,Routine de mobilité pour délier en douceur et améliorer l'aisance.,mobility,25,medium,3,"{improved_circulation,stress_reduction,mood_improvement}","{back_pain,poor_circulation,fatigue,stress}","{recent_surgery,acute_pain}","[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration + mobilisation simple"", ""duration"": ""2 min"", ""description"": ""Épaules, cou, chevilles."", ""repetitions"": ""lente"", ""breathing"": ""fluide""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Séquence de mobilité"", ""duration"": ""22 min"", ""description"": ""Mouvements articulaires progressifs."", ""repetitions"": ""séries courtes"", ""breathing"": ""coordonnée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements légers"", ""duration"": ""1 min"", ""description"": ""Relâchement global."", ""repetitions"": ""tenues courtes"", ""breathing"": ""calme""}], ""duration"": 1}]",{mat},NULL,https://sopk-app.com/video/12.mp4,"{Faire sur une chaise,Réduire l'amplitude,Se tenir à un mur}","{Tenir plus longtemps,Ajouter un élastique,Répéter la routine}"
Yoga Doux Crampes Menstruelles,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,20,beginner,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""15 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 15}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/13.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Bas-Ventre Apaisé,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,15,easy,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""10 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 10}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/14.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Jambes au Mur,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,10,beginner,1,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{heavy_menstruation},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""6 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 6}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/15.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Yoga Doux Détente Lutéale,Séance thérapeutique pour apaiser les douleurs et relâcher le bas-ventre.,yoga,25,easy,2,"{stress_reduction,hormonal_balance,reduced_inflammation}","{period_pain,bloating,back_pain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Respiration abdominale"", ""duration"": ""3 min"", ""description"": ""Allongée, mains sur le ventre."", ""repetitions"": ""10 cycles"", ""breathing"": ""in 4 / out 6""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""20 min"", ""description"": ""Enfant, torsion douce, papillon allongé."", ""repetitions"": ""tenues longues"", ""breathing"": ""calme""}], ""duration"": 20}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana"", ""duration"": ""2 min"", ""description"": ""Relaxation finale."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,wall}",https://sopk-app.com/audio/16.mp3,NULL,"{Ajouter des coussins,Raccourcir les postures,Pratiquer près d'un mur}","{Prolonger les tenues,Respiration Ujjayi,Transitions fluides}"
Flow Yoga Dynamique Énergie,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,25,medium,3,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""17 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 17}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/17.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Yoga Dynamique Renforcement & Équilibre,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,30,medium,4,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""22 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/18.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Initiation Vinyasa Doux,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,20,easy,3,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 4}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""13 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 13}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/19.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Yoga Dynamique Spécial Ovulation,"Flow dynamique pour tonifier, activer le cardio et l'équilibre.",yoga,30,advanced,5,"{energy_boost,insulin_sensitivity,cardiovascular_health,muscle_strength}","{low_energy,insulin_resistance,weight_gain,stress}",{joint_problems},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Salutations au soleil"", ""duration"": ""5 min"", ""description"": ""Échauffement global en flow."", ""repetitions"": ""3-5 cycles"", ""breathing"": ""coordonnée""}], ""duration"": 5}, {""phase"": ""main"", ""exercises"": [{""name"": ""Enchaînement guerriers/planche"", ""duration"": ""22 min"", ""description"": ""Transitions contrôlées, rythme modéré."", ""repetitions"": ""séries"", ""breathing"": ""rythmée""}], ""duration"": 22}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Étirements + pli avant"", ""duration"": ""3 min"", ""description"": ""Retour au calme."", ""repetitions"": ""tenues"", ""breathing"": ""allongée""}], ""duration"": 3}]",{mat},NULL,https://sopk-app.com/video/20.mp4,"{Poser les genoux en planche,Réduire l'amplitude,Ralentir le flow}","{Accélérer le rythme,Ajouter des sauts contrôlés,Tenir les postures plus longtemps}"
Yoga Restauratif Détente Profonde,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,30,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""25 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 25}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/21.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Anti-Stress,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,35,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""30 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 30}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/22.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Sommeil,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,20,beginner,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 3}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""15 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 15}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/23.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Yoga Restauratif Cycle Lutéal,Séance ultra-douce axée sur la récupération nerveuse et hormonale.,yoga,15,easy,1,"{stress_reduction,better_sleep,hormonal_balance,reduced_inflammation}","{anxiety,insomnia,stress,mood_swings}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Installation props"", ""duration"": ""3 min"", ""description"": ""Coussins, couvertures."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Postures restauratives"", ""duration"": ""11 min"", ""description"": ""Papillon allongé, torsion supportée, jambes au mur."", ""repetitions"": ""tenues longues"", ""breathing"": ""profonde""}], ""duration"": 11}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Savasana prolongé"", ""duration"": ""2 min"", ""description"": ""Abandon total."", ""repetitions"": ""immobile"", ""breathing"": ""libre""}], ""duration"": 2}]","{mat,cushion,block,wall}",https://sopk-app.com/audio/24.mp3,NULL,"{Multiplier les supports,Tenir moins longtemps,Fermer les yeux}","{Tenir 5-8 minutes,Respiration alternée,Scan corporel}"
Marche Guidée 10 min – Mise en Mouvement,Séance de marche simple et efficace pour bouger sans impact.,walking,10,easy,2,"{improved_circulation,cardiovascular_health,mood_improvement,weight_management}","{fatigue,low_energy,poor_circulation,depression}",{},"[{""phase"": ""warmup"", ""exercises"": [{""name"": ""Départ progressif"", ""duration"": ""2-5 min"", ""description"": ""Allure tranquille + respiration."", ""repetitions"": ""N/A"", ""breathing"": ""calme""}], ""duration"": 2}, {""phase"": ""main"", ""exercises"": [{""name"": ""Marche continue"", ""duration"": ""7 min"", ""description"": ""Allure confortable (parler possible)."", ""repetitions"": ""continu"", ""breathing"": ""naturelle""}], ""duration"": 3}, {""phase"": ""cooldown"", ""exercises"": [{""name"": ""Retour au calme"", ""duration"": ""2-5 min"", ""description"": ""Ralentir + étirements rapides."", ""repetitions"": ""N/A"", ""breathing"": ""profonde""}], ""duration"": 2}]",{},NULL,https://sopk-app.com/video/25.mp4,"{Allure plus lente,Segmenter en petites sessions,Choisir terrain plat}","{Allonger la durée,Ajouter des côtes légères,Utiliser des bâtons}"
